ID;UTME;UTMN;clay;T_0002_0020;T_0020_0050;T_0050_0100;T_0100_2000;SOM;SOC
1;507658.1;6083051.5;4.75;3.48;1.03;3.97;86.78;3.13;1.84
2;507673.04;6083050.14;4.62;3.49;1.03;3.49;87.37;2.98;1.75
3;507687.98;6083048.78;4.64;3.4;1.03;3.07;87.86;3.05;1.79
4;507702.92;6083047.43;4.68;3.43;1.04;3.4;87.46;3.39;1.99
5;507717.86;6083046.07;4.17;3.43;1.03;3.37;88.01;2.83;1.66
6;507732.79;6083044.71;4.75;3.89;1.03;3.55;86.78;2.88;1.69
7;507747.73;6083043.35;4.7;3.44;1.03;3.57;87.26;2.74;1.61
8;507762.67;6083041.99;4.73;3.36;1.03;3.61;87.27;2.96;1.74
9;507761.24;6083027.06;4.67;3.93;1.03;3.32;87.05;3.03;1.78
10;507746.3;6083028.41;4.66;4.42;1.03;4.17;85.73;2.93;1.72
11;507731.36;6083029.77;4.64;3.9;1.03;3.77;86.65;3.29;1.93
12;507716.42;6083031.13;4.61;3.48;1.03;3.85;87.03;2.61;1.53
13;507701.49;6083032.49;4.71;3.45;1.03;3.32;87.49;3.13;1.84
14;507686.55;6083033.85;4.61;3.48;1.03;3.49;87.38;2.96;1.74
15;507671.61;6083035.21;4.62;3.48;1.03;3.1;87.78;2.64;1.55
16;507656.67;6083036.57;4.63;3.49;1.03;3.63;87.23;2.52;1.48
17;507655.24;6083021.64;4.68;3.43;1.03;3.11;87.74;2.83;1.66
18;507670.18;6083020.28;4.69;3.43;1.03;2.84;88.01;2.83;1.66
19;507685.11;6083018.92;4.69;3.43;1.03;3.01;87.83;2.95;1.73
20;507700.05;6083017.56;4.68;3.43;1.03;3.01;87.85;2.78;1.63
21;507714.99;6083016.2;4.18;3.43;1.03;3.07;88.29;2.66;1.56
22;507729.93;6083014.84;4.69;3.44;1.03;2.85;87.99;2.96;1.74
23;507744.87;6083013.48;5.17;3.51;1.03;3.41;86.88;2.79;1.64
24;507759.81;6083012.12;4.67;3.93;1.03;2.92;87.44;3.02;1.77
25;507758.37;6082997.19;4.63;3.49;1.03;2.84;88.01;3.03;1.78
26;507743.43;6082998.55;4.66;3.92;1.03;2.79;87.61;2.5;1.47
27;507728.5;6082999.91;5.12;3.48;1.03;2.75;87.62;3.12;1.83
28;507713.56;6083001.27;4.59;3.47;1.03;3.13;87.78;2.84;1.67
29;507698.62;6083002.63;4.68;3.43;1.03;2.88;87.98;2.74;1.61
30;507683.68;6083003.99;4.23;4.76;1.03;2.72;87.27;2.59;1.52
31;507668.74;6083005.35;4.23;4.76;1.03;2.37;87.61;2.86;1.68
32;507653.8;6083006.71;4.17;3.93;1.03;3.44;87.42;3.19;1.87
33;507652.37;6082991.78;4.14;3.91;1.03;3.48;87.44;3.15;1.85
34;507667.31;6082990.42;4.16;3.42;1.03;2.99;88.4;2.84;1.67
35;507682.25;6082989.06;4.22;4.37;1.03;3.46;86.92;3.32;1.95
36;507697.19;6082987.7;4.15;3.91;1.03;3.29;87.62;3.22;1.89
37;507712.13;6082986.34;4.16;3.42;1.03;3.44;87.96;2.64;1.55
38;507727.06;6082984.98;4.68;3.94;1.03;3.03;87.32;3.15;1.85
39;507742;6082983.62;4.22;4.38;1.03;3.74;86.62;3.27;1.92
40;507756.94;6082982.26;4.69;4.45;1.03;4.01;85.81;3.15;1.85
41;507755.51;6082967.33;4.19;4.85;1.03;3.92;86.01;3.05;1.79
42;507740.57;6082968.69;4.18;4.45;1.03;3.75;86.59;3.2;1.88
43;507725.63;6082970.05;4.21;4.36;1.03;3.53;86.87;3;1.76
44;507710.69;6082971.41;4.04;3.54;1.03;3.57;87.82;2.84;1.67
45;507695.75;6082972.77;3.65;3.93;1.03;3.65;87.74;2.66;1.56
46;507680.82;6082974.13;3.66;3.43;1.03;3.37;88.52;2.69;1.58
47;507665.88;6082975.49;4.16;3.92;1.03;4.13;86.76;3.3;1.94
48;507650.94;6082976.85;3.75;3.91;1.03;4.21;87.1;3.19;1.87
49;507649.51;6082961.91;4.26;3.4;1.04;4.28;87.02;3.56;2.09
50;507664.44;6082960.55;4.68;3.43;1.04;3.99;86.87;3.63;2.13
51;507679.38;6082959.2;3.66;3.93;1.03;4.06;87.33;2.54;1.49
52;507694.32;6082957.84;3.68;3.45;1.03;3.85;88;2.66;1.56
53;507709.26;6082956.48;3.66;3.43;1.02;3.58;88.3;2.35;1.38
54;507724.2;6082955.12;3.66;3.43;1.03;3.27;88.6;3.02;1.77
55;507739.14;6082953.76;4.18;3.95;1.03;4.04;86.8;2.52;1.48
56;507754.07;6082952.4;4.17;3.93;1.03;4.9;85.97;3.13;1.84
57;507752.64;6082937.47;4.2;3.97;1.03;5.78;85.02;3.27;1.92
58;507737.7;6082938.83;3.67;4.45;1.03;4.42;86.43;2.84;1.67
59;507722.77;6082940.18;4.22;3.98;1.04;4.52;86.24;3.41;2
60;507707.83;6082941.54;3.69;3.45;1.03;3.89;87.93;3.24;1.9
61;507692.89;6082942.9;3.66;3.94;1.03;3.99;87.38;2.57;1.51
62;507677.95;6082944.26;4.13;4.01;1.03;4.14;86.68;2.84;1.67
63;507663.01;6082945.62;4.21;3.46;1.04;3.3;87.99;3.59;2.11
64;507648.07;6082946.98;4.15;3.01;1.03;2.97;88.84;3.12;1.83
65;507646.64;6082932.05;4.72;3.97;1.04;3.74;86.54;3.51;2.06
66;507661.58;6082930.69;5.22;3.96;1.04;4.26;85.52;3.41;2
67;507676.52;6082929.33;4.19;3.95;1.03;4.57;86.25;3.36;1.97
68;507691.46;6082927.97;3.74;3.9;1.03;4.53;86.8;3.13;1.84
69;507706.39;6082926.61;3.73;3.89;1.03;5.22;86.13;2.84;1.67
70;507721.33;6082925.25;4.73;3.98;1.03;5.05;85.21;3.25;1.91
71;507736.27;6082923.89;4.2;3.97;1.04;5.54;85.25;4.24;2.49
72;507751.21;6082922.53;4.22;3.98;1.03;7.05;83.71;3.32;1.95
73;507749.78;6082907.6;4.21;3.97;1.04;7.33;83.45;3.39;1.99
74;507734.84;6082908.96;4.23;4.5;1.04;5.49;84.74;3.49;2.05
75;507719.9;6082910.32;4.25;4.91;1.04;6.42;83.39;3.51;2.06
76;507704.96;6082911.68;3.69;3.96;1.03;5.34;85.98;3.08;1.81
77;507690.02;6082913.04;4.2;3.96;1.04;4.9;85.9;3.56;2.09
78;507675.08;6082914.4;4.27;3.92;1.04;5.25;85.52;3.7;2.17
79;507660.15;6082915.76;4.8;3.93;1.04;4.15;86.08;3.88;2.28
80;507645.21;6082917.12;5.14;3.49;1.03;4.47;85.87;3.3;1.94
81;507643.77;6082902.19;5.19;3.53;1.04;4.01;86.23;3.63;2.13
82;507658.71;6082900.83;4.73;3.97;1.04;4.96;85.3;3.63;2.13
83;507673.65;6082899.47;4.25;4.01;1.04;6.26;84.45;3.78;2.22
84;507688.59;6082898.11;4.18;3.43;1.04;6.17;85.18;3.48;2.04
85;507703.53;6082896.75;3.69;3.97;1.03;6.27;85.03;3.32;1.95
86;507718.47;6082895.39;4.18;3.94;1.03;6.94;83.9;3.08;1.81
87;507733.41;6082894.03;4.25;4.01;1.04;6.59;84.1;3.75;2.2
88;507748.34;6082892.67;3.78;4.46;1.04;9.79;80.93;3.46;2.03
